time,pressure,temp,depth
2023-12-13 12:52:06.904633,1009.9,23.59,-0.03
2023-12-13 12:52:07.196854,1009.8,23.58,-0.03
2023-12-13 12:52:07.490259,1009.9,23.58,-0.03
2023-12-13 12:52:07.781572,1010.0,23.59,-0.03
2023-12-13 12:52:08.073675,1010.2,23.59,-0.03
2023-12-13 12:52:08.366298,1009.3,23.59,-0.04
2023-12-13 12:52:08.659517,1009.8,23.59,-0.03
2023-12-13 12:52:08.951386,1009.7,23.59,-0.03
2023-12-13 12:52:09.245288,1009.3,23.59,-0.04
2023-12-13 12:52:09.537461,1009.9,23.59,-0.03
2023-12-13 12:52:09.829514,1009.2,23.59,-0.04
2023-12-13 12:52:10.121297,1009.8,23.58,-0.03
2023-12-13 12:52:10.413722,1009.6,23.59,-0.03
2023-12-13 12:52:10.707067,1009.7,23.59,-0.03
2023-12-13 12:52:10.999192,1009.6,23.59,-0.03
2023-12-13 12:52:11.291879,1009.7,23.59,-0.03
2023-12-13 12:52:11.583833,1009.3,23.59,-0.04
2023-12-13 12:52:11.877102,1009.9,23.58,-0.03
2023-12-13 12:52:12.169536,1009.6,23.59,-0.03
2023-12-13 12:52:12.461337,1009.6,23.59,-0.03
2023-12-13 12:52:12.753540,1009.6,23.58,-0.03
2023-12-13 12:52:13.047343,1010.1,23.59,-0.03
2023-12-13 12:52:13.338535,1010.4,23.58,-0.03
2023-12-13 12:52:13.631052,1009.3,23.58,-0.04
2023-12-13 12:52:13.923860,1010.0,23.58,-0.03
2023-12-13 12:52:14.230218,1009.5,23.59,-0.04
2023-12-13 12:52:14.508554,1009.5,23.58,-0.04
2023-12-13 12:52:14.801448,1009.7,23.58,-0.03
2023-12-13 12:52:15.093425,1009.7,23.58,-0.03
2023-12-13 12:52:15.386785,1010.2,23.59,-0.03
2023-12-13 12:52:15.680132,1009.8,23.58,-0.03
2023-12-13 12:52:15.971397,1009.7,23.58,-0.03
2023-12-13 12:52:16.263845,1009.6,23.59,-0.03
2023-12-13 12:52:16.556394,1010.2,23.58,-0.03
2023-12-13 12:52:16.849716,1009.9,23.59,-0.03
2023-12-13 12:52:17.141519,1010.0,23.58,-0.03
2023-12-13 12:52:17.433400,1009.9,23.58,-0.03
2023-12-13 12:52:17.727311,1009.8,23.58,-0.03
2023-12-13 12:52:18.019405,1009.6,23.59,-0.03
2023-12-13 12:52:18.311633,1009.8,23.59,-0.03
2023-12-13 12:52:18.604822,1010.1,23.58,-0.03
2023-12-13 12:52:18.896633,1009.3,23.58,-0.04
2023-12-13 12:52:19.189280,1009.3,23.58,-0.04
2023-12-13 12:52:19.481940,1009.8,23.58,-0.03
2023-12-13 12:52:19.774128,1009.5,23.59,-0.04
2023-12-13 12:52:20.065905,1010.2,23.58,-0.03
2023-12-13 12:52:20.359045,1010.1,23.58,-0.03
2023-12-13 12:52:20.651463,1009.7,23.58,-0.03
2023-12-13 12:52:20.943001,1009.7,23.58,-0.03
2023-12-13 12:52:21.236180,1009.8,23.58,-0.03
2023-12-13 12:52:21.529729,1009.9,23.58,-0.03
2023-12-13 12:52:21.821397,1009.6,23.58,-0.03
2023-12-13 12:52:22.113019,1009.9,23.58,-0.03
2023-12-13 12:52:22.406544,1009.8,23.58,-0.03
2023-12-13 12:52:22.699558,1009.7,23.58,-0.03
2023-12-13 12:52:22.990588,1009.3,23.58,-0.04
2023-12-13 12:52:23.283461,1009.9,23.58,-0.03
2023-12-13 12:52:23.576241,1009.7,23.58,-0.03
2023-12-13 12:52:23.868202,1009.7,23.58,-0.03
2023-12-13 12:52:24.160470,1009.9,23.58,-0.03
2023-12-13 12:52:24.452983,1010.2,23.58,-0.03
2023-12-13 12:52:24.745348,1009.2,23.58,-0.04
2023-12-13 12:52:25.039487,1009.4,23.58,-0.04
2023-12-13 12:52:25.331017,1009.6,23.58,-0.03
2023-12-13 12:52:25.622785,1009.4,23.58,-0.04
2023-12-13 12:52:25.915290,1009.5,23.58,-0.04
2023-12-13 12:52:26.208652,1009.9,23.58,-0.03
2023-12-13 12:52:26.501557,1010.2,23.58,-0.03
2023-12-13 12:52:26.792794,1009.4,23.58,-0.04
2023-12-13 12:52:27.085399,1010.0,23.58,-0.03
2023-12-13 12:52:27.379345,1009.5,23.58,-0.04
2023-12-13 12:52:27.670408,1009.8,23.58,-0.03
2023-12-13 12:52:27.963669,1009.8,23.57,-0.03
2023-12-13 12:52:28.256327,1010.2,23.58,-0.03
2023-12-13 12:52:28.548447,1010.0,23.57,-0.03
2023-12-13 12:52:28.840529,1009.6,23.58,-0.03
2023-12-13 12:52:29.132839,1010.0,23.58,-0.03
2023-12-13 12:52:29.426320,1009.6,23.58,-0.03
2023-12-13 12:52:29.718337,1010.0,23.57,-0.03
2023-12-13 12:52:30.011809,1009.9,23.58,-0.03
2023-12-13 12:52:30.303511,1009.5,23.57,-0.04
2023-12-13 12:52:30.597506,1009.3,23.58,-0.04
2023-12-13 12:52:30.888841,1010.0,23.58,-0.03
2023-12-13 12:52:31.180461,1010.2,23.58,-0.03
2023-12-13 12:52:31.472842,1009.8,23.58,-0.03
2023-12-13 12:52:31.766404,1010.1,23.58,-0.03
2023-12-13 12:52:32.058649,1009.9,23.58,-0.03
2023-12-13 12:52:32.351041,1009.7,23.58,-0.03
2023-12-13 12:52:32.643689,1010.0,23.57,-0.03
2023-12-13 12:52:32.935382,1009.6,23.57,-0.03
2023-12-13 12:52:33.228354,1010.0,23.57,-0.03
2023-12-13 12:52:33.521409,1010.2,23.57,-0.03
2023-12-13 12:52:33.813549,1009.9,23.57,-0.03
2023-12-13 12:52:34.106229,1009.9,23.57,-0.03
2023-12-13 12:52:34.398270,1009.7,23.58,-0.03
2023-12-13 12:52:34.691171,1009.6,23.57,-0.03
2023-12-13 12:52:34.983353,1010.4,23.57,-0.03
2023-12-13 12:52:35.276960,1009.7,23.58,-0.03
2023-12-13 12:52:35.567834,1009.8,23.57,-0.03
2023-12-13 12:52:35.862627,1010.1,23.57,-0.03
2023-12-13 12:52:36.153629,1010.1,23.57,-0.03
2023-12-13 12:52:36.446510,1009.9,23.57,-0.03
2023-12-13 12:52:36.739144,1009.8,23.58,-0.03
2023-12-13 12:52:37.030521,1009.9,23.57,-0.03
2023-12-13 12:52:37.323198,1009.3,23.57,-0.04
2023-12-13 12:52:37.616049,1009.7,23.57,-0.03
2023-12-13 12:52:37.908047,1010.2,23.57,-0.03
2023-12-13 12:52:38.201626,1009.9,23.57,-0.03
2023-12-13 12:52:38.493480,1009.6,23.57,-0.03
